branch,department,class,gross_sales,discount,sales_after_discount,Vat Amount,Net Sales,B,A,C,"Cst Ls Vt
",Net Contribution,Margin ,Markup ,source_file,source_branch,loaded_at,sku_code,product_name,quantity,vat_amount,net_sale,cost_ex_vat,net_contribution,margin_pct,markup_pct,Total Net Contribution : ,2230.3706896551726,\
Jogoo Road,BAKERY,Cakes,1040.0,0.0,1040.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920473,mill bakers double Choco cookies 250g,8.0,143.44827586206895,896.551724137931,606.896551724138,289.655172413793,32.3076923076923,47.727272727272705,,,
Jogoo Road,BAKERY,Cakes,1520.0,0.0,1520.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V40919552,Festive Ciambella 280g,8.0,209.65517241379303,1310.344827586207,1000.0000000000001,310.34482758620686,23.684210526315784,31.034482758620683,,,
Jogoo Road,BAKERY,Cakes,240.0,0.0,240.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V40919550,Festive Half Pound cake Vanilla 400g,1.0,33.103448275862064,206.89655172413794,77.58620689655173,129.31034482758622,62.5,166.66666666666669,,,
Jogoo Road,BAKERY,Cakes,180.0,0.0,180.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V40919549,Festive Cupcake Coffee 6's,1.0,24.82758620689654,155.17241379310346,112.92241379310346,42.25,27.227777777777778,37.4150698526605,,,
Jogoo Road,BAKERY,Cakes,5760.0,0.0,5760.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V40919548,Festive blueberry Cupcake 6's	,32.0,794.4827586206887,4965.517241379312,3613.759999999998,1351.7572413793137,27.222888888888946,37.405838832111556,,,
Jogoo Road,BAKERY,Cakes,24300.0,0.0,24300.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V40919547,Festive Vanilla Cupcake 6's,135.0,3351.7241379310426,20948.275862068956,15243.399655172438,5704.876206896519,27.233153909464875,37.42522229915242,,,
Jogoo Road,BAKERY,Cakes,2860.0,0.0,2860.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,101687,Truffes Chocolate,143.0,394.4827586206897,2465.5172413793102,1590.2586206896556,875.2586206896547,35.49999999999998,55.038759689922436,,,
Jogoo Road,BAKERY,Cakes,780.0,0.0,780.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920146,Festive ring Cake chocolate 90g,12.0,107.58620689655169,672.4137931034484,465.5172413793104,206.89655172413796,30.76923076923077,44.44444444444445,,,
Jogoo Road,BAKERY,COOKIES,260.0,0.0,260.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V20332203,Millbakers Assorted Cookies 200g,2.0,35.86206896551724,224.13793103448276,151.7241379310345,72.41379310344826,32.3076923076923,47.727272727272705,,,
Jogoo Road,BAKERY,COOKIES,4080.0,0.0,4080.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920989,Mill bakers melting mom cookies 200g,34.0,562.7586206896555,3517.2413793103447,2579.3103448275856,937.9310344827591,26.666666666666682,36.36363636363639,,,
Jogoo Road,BAKERY,COOKIES,1890.0,0.0,1890.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921771,LOZZY ACHARI LARGE,9.0,260.6896551724137,1629.3103448275863,1008.6206896551724,620.6896551724138,38.0952380952381,61.53846153846154,,,
Jogoo Road,BAKERY,COOKIES,450.0,0.0,450.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V40919004,SUPA TEA COOKIES-VANILLA ROUND 200g,3.0,62.06896551724134,387.93103448275866,258.62068965517244,129.31034482758622,33.33333333333333,50.0,,,
Jogoo Road,BAKERY,Mandazi,300.0,0.0,300.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,101386,milk mandazi mill bakers 200g,5.0,41.37931034482758,258.62068965517244,181.0344827586207,77.58620689655174,30.000000000000004,42.85714285714287,,,
Jogoo Road,BAKERY,Mandazi,420.0,0.0,420.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100990,Anju Mandazi 100g,6.0,0.0,420.0,300.0,120.0,28.57142857142857,40.0,,,
Jogoo Road,BAKERY,Muffins,1280.0,0.0,1280.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40922563,Supa Vanilla muffins 300g,8.0,176.55172413793093,1103.448275862069,827.5862068965517,275.8620689655173,25.000000000000007,33.33333333333334,,,
